stadiumId,tenantId,teamName,league,conference,conferenceAbbreviation,division,city,state,country,stadiumName,encompassingFacility,nonCorporateName,shortName,nickname,formerNames,surface,roof,constructionCost,renovations,artificialCapacity,capacity,openingDate,firstUsedDate,lastUsedDate,closingDate,active,activeForTeam,visited,visits,logoUrl,markerSizeX,markerSizeY,positionLat,positionLng,imageWithFans,imageEmpty,imageFacade,imageAerial,primaryFieldImage,primaryPerspectiveImage
tql-stadium-cincinnati-2021,FCCincinnati,FC Cincinnati,MLS,Eastern Conference,Eastern,,Cincinnati,OH,USA,TQL Stadium,,West End Stadium,,,,Grass,Partial,250000000,,,26000,2021,2021,,,True,True,False,0,https://i.imgur.com/FD53A5y.png,32,33,39.1110722051454,-84.5222442729496,https://i.imgur.com/9ICm9gK.jpg,https://i.imgur.com/9eAq9Le.jpg,https://i.imgur.com/iqktmms.jpg,https://i.imgur.com/MRhM2g0.jpg,https://i.imgur.com/9eAq9Le.jpg,https://i.imgur.com/MRhM2g0.jpg
banc-of-california-stadium-los-angeles-2018,LosAngelesFC,Los Angeles FC,MLS,Western Conference,Western,,Los Angeles,CA,USA,Banc of California Stadium,,,,,,Grass,Partial,350000000,,,22000,2018,2018,,,True,True,False,0,https://i.imgur.com/7nMUczZ.png,28,38,34.0126826469363,-118.284126744215,https://i.imgur.com/sSjqNMF.jpg,https://i.imgur.com/w5ChD99.jpg,https://i.imgur.com/SGjX2fT.jpg,https://i.imgur.com/8Dw2jt2.jpg,https://i.imgur.com/w5ChD99.jpg,https://i.imgur.com/8Dw2jt2.jpg
lumen-field-seattle-2002,SeattleSounders,Seattle Sounders FC,MLS,Western Conference,Western,,Seattle,WA,USA,Lumen Field,,,,,Seahawks Stadium (2002-2004) --- Qwest Field (2004-2011) --- CenturyLink Field (2011-2020),Artificial turf,Partial,430000000,,68740,37722,2002,2009,,,True,True,True,2,https://i.imgur.com/iCOPSIu.png,27,39,47.5951373087823,-122.331607215076,https://i.imgur.com/SJurCDg.jpg,https://i.imgur.com/1rvs6Za.jpg,https://i.imgur.com/3Axyk5m.jpg,https://i.imgur.com/gelmWAM.jpg,https://i.imgur.com/SJurCDg.jpg,https://i.imgur.com/gelmWAM.jpg
mercedes-benz-stadium-atlanta-2017,AtlantaUnited,Atlanta United FC,MLS,Eastern Conference,Eastern,,Atlanta,GA,USA,Mercedes-Benz Stadium,,,,,,Artificial turf,Retractable,1500000000,,71000,42500,2017,2017,,,True,True,False,0,https://i.imgur.com/WmlfTg5.png,32,32,33.7553053403006,-84.4005797730561,https://i.imgur.com/QwPqb9u.jpg,https://i.imgur.com/bfpf9XZ.jpg,https://i.imgur.com/bBLsQh3.jpg,https://i.imgur.com/FdB6fhX.jpg,https://i.imgur.com/bfpf9XZ.jpg,https://i.imgur.com/FdB6fhX.jpg
saputo-stadium-montreal-2008,CFMontreal,CF Montreal,MLS,Eastern Conference,Eastern,,Montreal,QC,Canada,Saputo Stadium,,,,,,Grass,Partial,17000000,,,19619,2008,2008,,,True,True,False,0,https://i.imgur.com/e6SJ2eB.png,32,32,45.562287167386,-73.5530431304728,https://i.imgur.com/A5Nl22T.jpg,https://i.imgur.com/vFC63Fa.jpg,https://i.imgur.com/eAA6Pnm.jpg,https://i.imgur.com/FqY3jNu.jpg,https://i.imgur.com/A5Nl22T.jpg,https://i.imgur.com/FqY3jNu.jpg
rio-tinto-stadium-salt-lake-2008,RealSaltLake,Real Salt Lake,MLS,Western Conference,Western,,Sandy,UT,USA,Rio Tinto Stadium,,,,,,Grass,Partial,110000000,,,20213,2008,2008,,,True,True,False,0,https://i.imgur.com/n92AawL.png,26,35,40.5828145756322,-111.893405801754,https://i.imgur.com/4n35euz.jpg,https://i.imgur.com/P1IbYTP.jpg,https://i.imgur.com/a2hfbE5.jpg,https://i.imgur.com/1wy1kNp.jpg,https://i.imgur.com/P1IbYTP.jpg,https://i.imgur.com/1wy1kNp.jpg
allianz-field-minnesota-2019,MinnesotaUnited,Minnesota United FC,MLS,Western Conference,Western,,Saint Paul,MN,USA,Allianz Field,,,,,,Grass,Partial,200000000,,,19400,2019,2019,,,True,True,False,0,https://i.imgur.com/TtTgOEm.png,24,37,44.9531720453651,-93.1646591756956,https://i.imgur.com/NWdOTo6.jpg,https://i.imgur.com/o857ZOj.jpg,https://i.imgur.com/QXQsnrD.jpg,https://i.imgur.com/dwwvJOc.jpg,https://i.imgur.com/o857ZOj.jpg,https://i.imgur.com/dwwvJOc.jpg
q2-stadium-austin-2021,AustinFC,Austin FC,MLS,Western Conference,Western,,Austin,TX,USA,Q2 Stadium,,,,,,Grass,Partial,260000000,,,20738,2021,2021,,,True,True,False,0,https://i.imgur.com/GU0r2Iw.png,26,34,30.3877090619524,-97.7193751019508,https://i.imgur.com/Qya9LYL.jpg,https://i.imgur.com/I1qUsfb.jpg,https://i.imgur.com/R1WeCA8.jpg,https://i.imgur.com/UjrTw0I.jpg,https://i.imgur.com/I1qUsfb.jpg,https://i.imgur.com/UjrTw0I.jpg
audi-field-dc-2018,DCUnited,D.C. United,MLS,Eastern Conference,Eastern,,Washington,DC,USA,Audi Field,,,,,,Grass,Partial,450000000,,,20000,2018,2018,,,True,True,False,0,https://i.imgur.com/F2ryFUn.png,31,33,38.8689128281676,-77.0129154419622,https://i.imgur.com/8C7RPHg.jpg,https://i.imgur.com/dKVbdo4.jpg,https://i.imgur.com/9KxDAKR.jpg,https://i.imgur.com/c8hy7KH.jpg,https://i.imgur.com/dKVbdo4.jpg,https://i.imgur.com/c8hy7KH.jpg
lowercom-field-columbus-2021,ColumbusCrew,Columbus Crew,MLS,Eastern Conference,Eastern,,Columbus,OH,USA,Lower.com Field,,,,,,Grass,Partial,314000000,,,20371,2021,2021,,,True,True,False,0,https://i.imgur.com/1gnGvNT.png,32,32,39.9684475342008,-83.0170849729311,https://i.imgur.com/UGdF4HU.jpg,https://i.imgur.com/UHv0vLs.jpg,https://i.imgur.com/8pDD987.jpg,https://i.imgur.com/DCRaw1a.jpg,https://i.imgur.com/UHv0vLs.jpg,https://i.imgur.com/DCRaw1a.jpg
